,Age,Country,Plays,Wikipedia,Current Rank,Best Rank,Name,Backhand,Prize Money,Height,Favorite Surface,Turned Pro,Seasons,Active,Current Elo Rank,Best Elo Rank,Peak Elo Rating,Last Appearance,Titles,GOAT Rank,Best Season,Retired,Masters,Birthplace,Residence,Weight,Coach,Facebook,Twitter,Nicknames,Grand Slams,Davis Cups,Web Site,Team Cups,Olympics,Weeks at No. 1,Tour Finals
97,32 (17-01-1988),Spain,Left-handed,Wikipedia,42 (1130),17 (08-05-2017),Albert Ramos,Two-handed,"US$7,062,030",188 cm,Clay 35%,2007,11,Yes,45 (1946),25 (01-05-2017),2014 (01-05-2017),12-01-2020,2,293 (5),2016,,,,,,,,,,,,,,,,
98,26 (12-01-1994),United States,Right-handed,Wikipedia,164 (309),159 (18-02-2019),Mitchell Krueger,Two-handed,"$588,335",,Hard 100%,2012,4,,,184 (13-05-2019),1670 (28-01-2019),14-01-2019,,,,2019,,,,,,,,,,,,,,,
99,20 (11-01-2000),Poland,,Wikipedia,438 (73),434 (06-01-2020),Daniel Michalski,,"$2,893",,,,1,,,,,,,,,,,,,,,,,,,,,,,,
100,28 (14-04-1991),Spain,,Wikipedia,242 (195),232 (18-11-2019),Roberto Ortega Olmedo,,"$209,276",,,,1,,,,,16-05-2016,,,,2016,,,,,,,,,,,,,,,
101,28 (03-06-1991),Spain,Right-handed,Wikipedia,182 (277),154 (16-07-2018),Enrique Lopez Perez,Two-handed,"US$444,563",,,2009,1,,,,,18-07-2016,,,,2016,,,,,,,,,,,,,,,
102,38 (21-01-1982),France,Right-handed,Wikipedia,191 (260),37 (05-05-2014),Nicolas Mahut,One-handed,"US$10,262,279",190 cm,Grass 59%,2000,20,Yes,69 (1886),35 (10-10-2016),1970 (23-09-2013),17-06-2019,4,325 (4),2013,,,,,,,,,,,1,,,,,
103,33 (10-02-1986),Serbia,Right-handed,Wikipedia,159 (325),12 (06-06-2011),Viktor Troicki,Two-handed,"US$8,638,698",193 cm,All-Rounder 4%,2006,14,Yes,82 (1850),15 (03-04-2011),2091 (17-04-2011),15-07-2019,3,264 (6),2010,,,"Belgrade, Serbia","Belgrade, Serbia",86 kg,Boris Pasanski,viktortroicki,@troicki_viktor,,,1,viktortroicki.com,2,,,
104,29 (14-07-1990),Belarus,Right-handed,Wikipedia,338 (116),129 (19-06-2017),Uladzimir Ignatik,Two-handed,"$640,041",,Hard 52%,2007,8,,,116 (10-09-2012),1780 (20-04-2012),10-08-2008,,,,2008,,,,,,,,,,,,,,,
105,24 (10-08-1995),Netherlands,,Wikipedia,379 (97),260 (17-12-2018),Jelle Sels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,24 (23-07-1995),France,Right-handed,Wikipedia,329 (118),319 (12-08-2019),Arthur Rinderknech,Two-handed,"$64,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,25 (16-01-1995),United Kingdom,Right-handed,Wikipedia,407 (84),319 (16-09-2019),Evan Hoyt,Two-handed,"$83,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,24 (23-07-1995),Tunisia,Right-handed,Wikipedia,341 (115),303 (18-11-2019),Skander Mansouri,Two-handed,"$70,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,21 (27-07-1998),United Kingdom,Right-handed,Wikipedia,155 (335),153 (22-07-2019),Jay Clarke,Two-handed,"$433,732",,,2016,2,Yes,,,,01-07-2019,,,,,,,,,,,,,,,,,,,
110,22 (02-12-1997),"Korea, Republic of",Right-handed,Wikipedia,87 (637),81 (09-09-2019),Soon Woo Kwon,Two-handed,"$488,866",,Hard 100%,,3,Yes,146 (1763),144 (10-01-2020),1763 (21-10-2019),14-10-2019,,,,,,,,,,,,,,,,,,,
111,24 (24-08-1995),United States,Left-handed,Wikipedia,390 (92),381 (29-04-2019),Martin Redlicki,Two-handed,"$88,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,21 (29-03-1998),Japan,,Wikipedia,436 (73),289 (27-08-2018),Renta Tokuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,19 (07-12-2000),Serbia,Right-handed,Wikipedia,454 (68),451 (13-01-2020),Marko Miladinovic,Two-handed,"$27,473",,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,28 (16-02-1991),Monaco,Right-handed,Wikipedia,435 (73),327 (29-07-2019),Hugo Nys,One-handed,"$402,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,22 (16-08-1997),India,Right-handed,Wikipedia,131 (416),127 (11-11-2019),Sumit Nagal,Two-handed,"$228,745",,,2015,3,Yes,,,,26-08-2019,,,,,,,,,,,,,,,,,,,
116,29 (31-01-1990),Argentina,Right-handed,Wikipedia,202 (238),112 (04-03-2019),Marco Trungelliti,Two-handed,"US$818,258",,Clay 100%,2008,6,Yes,142 (1765),120 (06-05-2019),1794 (04-03-2019),26-08-2019,,,,,,,,,,,,,,,,,,,
117,30 (03-07-1989),Croatia,,Wikipedia,395 (89),206 (23-11-2015),Matija Pecotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,34 (08-10-1985),Italy,Right-handed,Wikipedia,406 (84),36 (23-02-2009),Simone Bolelli,One-handed,"$5,050,165",183 cm,"Soft (Cl, G) 27%",2003,14,Yes,,39 (10-08-2015),1959 (30-08-2015),27-05-2019,,,,,,,,,,,,,,,,,,,
119,25 (02-02-1994),Ukraine,Right-handed,Wikipedia,441 (72),439 (13-01-2020),Danylo Kalenichenko,Two-handed,"$27,104",,,,1,,,,,,,,,,,,,,,,,,,,,,,,
120,27 (20-06-1992),Germany,Left-handed,Wikipedia,222 (215),148 (30-07-2018),Mats Moraing,Two-handed,"$273,136",,,2013,1,Yes,,,,17-06-2019,,,,,,,,,,,,,,,,,,,
121,25 (20-04-1994),Australia,Right-handed,Wikipedia,66 (843),43 (15-07-2019),Jordan Thompson,Two-handed,"$2,228,346",,All-Rounder 6%,2013,7,Yes,77 (1861),58 (01-07-2019),1908 (01-07-2019),12-01-2020,,,,,,,,,,,,,,,,,,,
122,22 (10-01-1998),United States,Right-handed,Wikipedia,217 (219),96 (01-10-2018),Michael Mmoh,Two-handed,"$657,498",,Hard 100%,2016,5,Yes,,152 (23-04-2018),1756 (06-08-2018),13-01-2020,,,,,,,,,,,,,,,,,,,
123,25 (29-06-1994),Latvia,Right-handed,Wikipedia,458 (67),422 (04-11-2019),Martins Podzus,Two-handed,"$65,452",,None 0%,,7,,,181 (09-05-2016),1691 (15-03-2016),,,,,,,,,,,,,,,,,,,,
124,21 (27-02-1998),Croatia,Right-handed,Wikipedia,265 (164),265 (20-01-2020),Borna Gojo,Two-handed,"$53,699",,,,2,Yes,,,,20-08-2018,,,,,,,,,,,,,,,,,,,
125,31 (29-03-1988),Estonia,Right-handed,Wikipedia,442 (71),71 (10-09-2012),Jurgen Zopp,Two-handed,"$1,119,928",190 cm,None 8%,,10,,,122 (30-07-2018),1800 (30-07-2018),15-10-2018,,,,2018,,,,,,,,,,,,,,,
126,28 (28-02-1991),United States,Left-handed,Wikipedia,312 (127),162 (07-05-2018),Kevin King,,"$293,788",,,,4,Yes,,,,22-07-2019,,,,,,,,,,,,,,,,,,,
127,31 (28-09-1988),Croatia,Right-handed,Wikipedia,39 (1205),3 (29-01-2018),Marin Cilic,Two-handed,"US$ 27,466,016 10th all-time leader in earnings",198 cm,Grass 16%,2005,16,Yes,23 (2037),6 (08-09-2014),2232 (23-09-2014),28-10-2019,18,53 (68),2014,,1,"Medjugorje, BIH","Monte Carlo, Monaco",82 kg,,MarinCilic,@cilic_marin,,1,1,marincilic.com,,,,
128,23 (12-04-1996),Italy,Right-handed,Wikipedia,8 (2870),8 (04-11-2019),Matteo Berrettini,Two-handed,"$3,580,862",,"Soft (Cl, G) 41%",2015,3,Yes,17 (2075),13 (28-10-2019),2102 (28-10-2019),11-11-2019,3,245 (7),2019,,,,,,,,,,,,,,,,
129,26 (27-01-1993),Japan,Right-handed,Wikipedia,110 (501),64 (27-08-2018),Taro Daniel,Two-handed,"$1,626,003",,None 13%,,6,Yes,102 (1824),77 (27-08-2018),1882 (27-08-2018),30-09-2019,1,489 (1),2018,,,,,,,,,,,,,,,,
130,31 (02-06-1988),Romania,Left-handed,Wikipedia,455 (68),453 (13-01-2020),Mircea Alexandru Jecan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,32 (07-07-1987),Italy,Right-handed,Wikipedia,234 (202),118 (18-03-2013),Matteo Viola,Two-handed,"$619,419",,Hard 100%,2004,5,Yes,,124 (21-10-2013),1772 (30-09-2013),16-09-2019,,,,,,,,,,,,,,,,,,,
132,25 (05-04-1994),Serbia,Right-handed,Wikipedia,424 (78),174 (24-10-2016),Marko Tepavac,Two-handed,"$140,292",,,,1,,,,,06-02-2017,,,,2017,,,,,,,,,,,,,,,
133,22 (07-08-1997),Russian Federation,Right-handed,Wikipedia,226 (211),219 (05-08-2019),Roman Safiullin,Two-handed,"$105,848",,,2015,1,,,,,16-10-2017,,,,2017,,,,,,,,,,,,,,,
134,29 (17-10-1990),Romania,Right-handed,Wikipedia,152 (344),56 (28-01-2019),Marius Copil,One-handed,"US$ 2,432,075",193 cm,Hard 35%,2008,11,Yes,111 (1811),72 (29-10-2018),1875 (29-10-2018),21-10-2019,,489 (1),2018,,,,,,,,,,,,mariuscopil.com/en,,,,
135,19 (21-04-2000),Russian Federation,Right-handed,Wikipedia,479 (64),474 (13-01-2020),Alexey Zakharov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,26 (05-03-1993),France,Right-handed,Wikipedia,214 (223),181 (03-08-2015),Tristan Lamasine,Two-handed,"$411,790",,,2010,3,Yes,,,,20-05-2019,,,,,,,,,,,,,,,,,,,
137,26 (05-10-1993),Portugal,Right-handed,Wikipedia,171 (294),160 (20-05-2019),Joao Domingues,Two-handed,"$299,185",,Clay 100%,2013,4,Yes,153 (1750),139 (26-08-2019),1765 (06-05-2019),29-04-2019,,,,,,,,,,,,,,,,,,,
138,29 (05-10-1990),Argentina,Left-handed,Wikipedia,76 (711),33 (09-05-2016),Federico Delbonis,Two-handed,"$3,611,278",190 cm,Clay 78%,2007,12,Yes,120 (1793),41 (11-04-2016),1953 (11-04-2016),12-01-2020,2,325 (4),2016,,,,,,,,,,,1,,,,,
139,29 (17-12-1990),Colombia,Right-handed,Wikipedia,393 (90),158 (13-06-2016),Eduardo Struvay,Two-handed,"US$232,735",,,2007,3,,,,,14-07-2014,,,,2014,,,,,,,,,,,,,,,
140,34 (04-04-1985),Israel,Right-handed,Wikipedia,142 (373),29 (20-07-2009),Dudi Sela,One-handed,"US$3,897,335",175 cm,"Fast (H, G) 49%",2002,15,Yes,,44 (06-07-2009),1941 (21-07-2009),16-09-2019,,,,,,,,,,,,,,,,,,,
141,30 (29-12-1989),Japan,Right-handed,Wikipedia,18 (1930),4 (02-03-2015),Kei Nishikori,Two-handed,"US$ 23,846,631 14th all-time leader in earnings",178 cm,"Slow (H, Cl) 17%",2007,13,Yes,10 (2114),4 (12-09-2016),2296 (19-08-2016),26-08-2019,12,49 (71),2014,,,"Shimane, Japan","Bradenton, Florida, USA",77 kg,Michael Chang,keinishikori,@keinishikori,,,,keinishikori.com,,,,
142,27 (20-05-1992),Bosnia and Herzegovina,Right-handed,Wikipedia,92 (594),23 (02-07-2018),Damir Dzumhur,Two-handed,"US$3,869,834",172 cm,Grass 18%,2011,10,Yes,97 (1830),32 (02-10-2017),1994 (23-10-2017),28-10-2019,3,357 (3),2017,,,,,,,,,,,,,,,,
143,23 (21-02-1996),United States,Right-handed,Wikipedia,253 (181),125 (08-10-2018),Noah Rubin,Two-handed,"$721,726",,Hard 28%,2015,6,Yes,169 (1709),132 (13-08-2018),1788 (06-08-2018),01-07-2019,,,,,,,,,,,,,,,,,,,
144,35 (22-06-1984),Serbia,Right-handed,Wikipedia,211 (225),8 (02-04-2012),Janko Tipsarevic,Two-handed,"$8,616,024",180 cm,All-Rounder 4%,2002,17,Yes,126 (1786),9 (13-08-2012),2158 (13-08-2012),14-10-2019,4,183 (12),2011,,,"Belgrade, Serbia","Belgrade, Serbia",80 kg,Dirk Hordorff,JankoOfficial,@TipsarevicJanko,,,1,www.jtipsarevic.com,2,,,
145,25 (23-02-1994),France,Right-handed,Wikipedia,24 (1600),10 (19-03-2018),Lucas Pouille,Two-handed,"US$$7,487,708",185 cm,All-Rounder 8%,2012,7,Yes,34 (1975),20 (26-09-2016),2069 (01-05-2017),07-10-2019,5,169 (15),2017,,,"Grande-Synthe, France","Dubai, U.A.E.",81 kg,Emmanuel Planque,iamlucaspouille,@la_pouille,,,1,lucaspouille.com,,,,
146,24 (18-06-1995),Australia,,Wikipedia,445 (71),368 (05-08-2019),Jacob Grills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,28 (14-01-1992),Russian Federation,Right-handed,Wikipedia,488 (63),329 (24-12-2018),Alexander Zhurbin,Two-handed,"$51,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,23 (10-04-1996),Sweden,Right-handed,Wikipedia,174 (290),105 (11-06-2018),Elias Ymer,Two-handed,"$950,007",,None 5%,2014,7,Yes,184 (1631),146 (27-04-2015),1740 (27-04-2015),14-10-2019,,,,,,,,,,,,,,,,,,,
149,20 (15-04-1999),Canada,Left-handed,Wikipedia,13 (2200),13 (13-01-2020),Denis Shapovalov,One-handed,"US$4,535,961",,Hard 52%,2017,5,Yes,18 (2066),16 (26-11-2019),2075 (10-01-2020),13-01-2020,1,264 (6),2019,,,,,,,,,,,,,,,,
150,26 (30-04-1993),Spain,Right-handed,Wikipedia,316 (125),193 (03-08-2015),Oriol Roca Batalla,One-handed,"US$154,038",,,,1,,,,,23-07-2018,,,,2018,,,,,,,,,,,,,,,
151,22 (20-10-1997),Russian Federation,Right-handed,Wikipedia,16 (2004),16 (20-01-2020),Andrey Rublev,Two-handed,"US$4,442,257",,"Fast (H, G) 16%",2014,7,Yes,11 (2110),11 (19-01-2020),2110 (19-01-2020),12-01-2020,4,264 (6),2020,,,,,,,,,,,,,,,,
152,27 (27-03-1992),Belgium,Right-handed,Wikipedia,295 (137),113 (19-06-2017),Arthur De Greef,Two-handed,"$413,149",,Clay 100%,,3,Yes,,,,17-07-2017,,,,,,,,,,,,,,,,,,,
153,27 (26-04-1992),Barbados,Right-handed,Wikipedia,190 (262),106 (08-05-2017),Darian King,Two-handed,"$611,774",,Hard 46%,2010,8,Yes,147 (1759),91 (26-09-2017),1846 (26-09-2017),18-02-2019,,,,,,,,,,,,,,,,,,,
154,25 (08-01-1995),United Kingdom,Right-handed,Wikipedia,65 (845),14 (08-10-2018),Kyle Edmund,Two-handed,"$5,190,930",,"Slow (H, Cl) 28%",2011,8,Yes,42 (1959),24 (06-08-2018),2038 (22-10-2018),13-01-2020,1,357 (3),2018,,,,,,,,,,,1,,,,,
155,28 (22-07-1991),United States,Right-handed,Wikipedia,100 (573),41 (14-01-2019),Tennys Sandgren,Two-handed,"$2,109,288",,Grass 29%,2011,4,Yes,80 (1857),61 (14-01-2019),1894 (14-01-2019),13-01-2020,1,400 (2),2019,,,,,,,,,,,,,,,,
156,32 (17-07-1987),Germany,Right-handed,Wikipedia,463 (66),51 (19-08-2013),Daniel Brands,One-handed,"$2,181,301",196 cm,All-Rounder 6%,2005,13,Yes,,55 (29-07-2013),1921 (06-01-2014),04-02-2019,,,,,,,,,,,,,,,,,,,
157,26 (17-02-1993),Germany,Right-handed,Wikipedia,239 (196),227 (06-01-2020),Julian Lenz,Two-handed,"$103,099",,,,1,Yes,,,,16-09-2019,,,,,,,,,,,,,,,,,,,
158,26 (04-03-1993),Zimbabwe,Right-handed,Wikipedia,487 (63),391 (17-12-2018),Benjamin Lock,Two-handed,"$99,816",,,2016,3,Yes,,,,,,,,,,,,,,,,,,,,,,,
159,22 (02-06-1997),Spain,Right-handed,Wikipedia,477 (64),349 (30-01-2017),Alvaro Lopez San Martin,Two-handed,"$25,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,27 (07-01-1993),Slovakia,Right-handed,Wikipedia,169 (299),161 (20-05-2019),Filip Horansky,Two-handed,"$143,530",,,,2,Yes,,,,15-10-2018,,,,,,,,,,,,,,,,,,,
161,26 (16-11-1993),United States,Left-handed,Wikipedia,377 (98),313 (18-11-2019),Michael Redlicki,Two-handed,"$35,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,26 (12-07-1993),Brazil,Right-handed,Wikipedia,400 (86),337 (07-10-2013),Bruno Santanna,Two-handed,"$95,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,21 (25-03-1998),United States,Right-handed,Wikipedia,269 (159),265 (13-01-2020),Ulises Blanch,Two-handed,"$34,038",,,2017,,,,,,,,,,,,,,,,,,,,,,,,,
164,30 (08-05-1989),France,Right-handed,Wikipedia,21 (1703),18 (11-01-2016),Benoit Paire,Two-handed,"$7,774,890",196 cm,"Soft (Cl, G) 10%",2007,11,Yes,38 (1965),25 (11-01-2016),2003 (11-01-2016),13-01-2020,3,293 (5),2019,,,,,,,,,,,,,,,,
165,25 (31-05-1994),Brazil,Left-handed,Wikipedia,86 (640),74 (27-02-2017),Thiago Monteiro,Two-handed,"US$1,215,794",,Clay 43%,2011,5,Yes,156 (1747),115 (31-07-2017),1799 (30-07-2018),13-01-2020,,,,,,,,,,,,,,,,,,,
166,22 (23-03-1997),Switzerland,Right-handed,Wikipedia,460 (67),457 (11-11-2019),Johan Nikles,Two-handed,"$45,711",,,,1,,,,,18-07-2016,,,,2016,,,,,,,,,,,,,,,
167,22 (05-05-1997),Spain,Right-handed,Wikipedia,90 (608),52 (20-05-2019),Jaume Munar,Two-handed,"$1,037,912",,Clay 34%,2014,6,Yes,151 (1755),76 (06-05-2019),1866 (29-04-2019),12-01-2020,,,,,,,,,,,,,,,,,,,
168,27 (30-09-1992),Italy,Right-handed,Wikipedia,77 (710),16 (25-02-2019),Marco Cecchinato,One-handed,"$2,802,848",,Clay 40%,2010,8,Yes,135 (1771),39 (23-07-2018),1953 (23-07-2018),13-01-2020,3,293 (5),2018,,,,,,,,,,,,,,,,
169,19 (26-09-2000),France,Left-handed,Wikipedia,247 (189),244 (13-01-2020),Hugo Gaston,Two-handed,"$4,166",,,,1,,,,,19-02-2018,,,,2018,,,,,,,,,,,,,,,
170,24 (10-01-1996),Italy,Right-handed,Wikipedia,238 (198),144 (29-07-2019),Filippo Baldi,Two-handed,"$224,705",,,,2,Yes,,,,22-07-2019,,,,,,,,,,,,,,,,,,,
171,27 (12-08-1992),Germany,Right-handed,Wikipedia,391 (92),271 (24-12-2018),Peter Heller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,23 (17-05-1996),Czech Republic,,Wikipedia,475 (65),415 (22-10-2018),David Poljak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,22 (17-06-1997),Kazakhstan,Right-handed,Wikipedia,56 (948),48 (14-10-2019),Alexander Bublik,Two-handed,"$770,281",,None 8%,,5,Yes,79 (1859),79 (19-01-2020),1867 (30-09-2019),12-01-2020,,,,,,,,,,,,,,,,,,,
174,29 (30-05-1990),Italy,Left-handed,Wikipedia,147 (361),84 (24-07-2017),Alessandro Giannessi,Two-handed,"$868,315",183 cm,Clay 34%,2008,7,Yes,170 (1706),130 (31-07-2017),1776 (24-07-2017),25-02-2019,,,,,,,,,,,,,,,,,,,
175,31 (29-06-1988),France,Left-handed,Wikipedia,44 (1111),22 (19-03-2018),Adrian Mannarino,Two-handed,"$6,903,920",183 cm,Grass 50%,2004,13,Yes,52 (1926),29 (15-01-2018),2004 (29-01-2018),13-01-2020,1,400 (2),2019,,,,,,,,,,,,adrianmannarino.fr,,,,
176,32 (27-12-1987),Italy,Left-handed,Wikipedia,284 (143),153 (12-10-2015),Andrea Arnaboldi,One-handed,"$764,348",,Clay 100%,2006,5,Yes,,145 (18-07-2016),1751 (18-07-2016),01-07-2019,,,,,,,,,,,,,,,,,,,
177,24 (13-02-1995),United States,Right-handed,Wikipedia,271 (156),188 (30-09-2019),Thai Son Kwiatkowski,Two-handed,"$ 211,565",,,2017,3,Yes,,,,29-07-2019,,,,,,,,,,,,,,,,,,,
178,26 (15-08-1993),"Korea, Republic of",Right-handed,Wikipedia,245 (192),236 (12-08-2019),Ji Sung Nam,Two-handed,"$150,839",,,,3,Yes,,,,,,,,,,,,,,,,,,,,,,,
179,27 (04-08-1992),Argentina,Right-handed,Wikipedia,296 (137),104 (14-04-2014),Facundo Arguello,Two-handed,"$585,880",,Clay 100%,,5,Yes,,185 (27-07-2015),1647 (02-03-2015),15-07-2019,,,,,,,,,,,,,,,,,,,
180,27 (10-04-1992),Australia,Right-handed,Wikipedia,343 (114),216 (27-08-2018),Maverick Banes,Two-handed,"$192,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,22 (19-03-1997),Israel,Right-handed,Wikipedia,356 (109),249 (18-12-2017),Edan Leshem,Two-handed,"$61,464",,,,5,Yes,,,,31-07-2017,,,,,,,,,,,,,,,,,,,
182,25 (08-05-1994),Denmark,Right-handed,Wikipedia,194 (255),166 (06-01-2020),Mikael Torpegaard,Two-handed,"US$ 72,127",,,2019,4,Yes,,,,29-07-2019,,,,,,,,,,,,,,,,,,,
183,28 (18-12-1991),Italy,Right-handed,Wikipedia,74 (730),74 (20-01-2020),Stefano Travaglia,Two-handed,"$813,406",,None 2%,2011,5,Yes,138 (1770),135 (13-01-2020),1770 (10-01-2020),14-10-2019,,,,,,,,,,,,,,,,,,,
184,22 (10-12-1997),Chile,Right-handed,Wikipedia,335 (116),279 (19-08-2019),Marcelo Tomas Barrios Vera,Two-handed,"$69,960",,,,1,,,,,,,,,,,,,,,,,,,,,,,,
185,22 (24-02-1997),South Africa,Right-handed,Wikipedia,72 (746),72 (20-01-2020),Lloyd George Muirhead Harris,Two-handed,"$713,499",,Hard 60%,2015,5,Yes,75 (1866),75 (19-01-2020),1866 (19-01-2020),12-01-2020,,,,,,,,,,,,,,,,,,,
186,31 (10-06-1988),France,Right-handed,Wikipedia,470 (65),153 (08-01-2018),Gleb Sakharov,Two-handed,"$271,207",,,,3,,,,,14-01-2019,,,,2019,,,,,,,,,,,,,,,
187,32 (26-11-1987),Australia,Right-handed,Wikipedia,240 (195),39 (22-10-2018),Matthew Ebden,Two-handed,"US$3,323,526",188 cm,"Fast (H, G) 62%",2006,10,Yes,132 (1774),54 (15-10-2018),1913 (15-10-2018),29-07-2019,,,,,,,,,,,,,,,,,,,
188,26 (15-08-1993),Argentina,Right-handed,Wikipedia,52 (1017),50 (11-11-2019),Juan Ignacio Londero,Two-handed,"US$1,226,242",,Clay 57%,2010,5,Yes,84 (1848),59 (09-09-2019),1901 (09-09-2019),12-01-2020,1,489 (1),2019,,,,,,,,,,,,,,,,
189,32 (26-12-1987),Kazakhstan,Right-handed,Wikipedia,68 (816),39 (25-02-2019),Mikhail Kukushkin,Two-handed,"$4,997,728",183 cm,Hard 19%,2006,14,Yes,60 (1900),41 (25-02-2019),1944 (25-02-2019),06-01-2020,1,489 (1),2010,,,,,,,,,,,,,,,,
190,26 (07-09-1993),Japan,,Wikipedia,305 (131),290 (06-01-2020),Shintaro Imai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,29 (10-01-1991),Netherlands,Right-handed,Wikipedia,,205 (06-08-2018),Scott Griekspoor,Two-handed,"$78,745",,,,1,,,,,,,,,,,,,,,,,,,,,,,,
192,36 (20-01-1984),Tunisia,Right-handed,Wikipedia,230 (206),42 (07-01-2019),Malek Jaziri,Two-handed,"US$3,825,614",185 cm,"Slow (H, Cl) 25%",2003,13,Yes,164 (1716),52 (31-03-2017),1922 (31-03-2017),06-01-2020,,,,,,,,,,,,,,,,,,,
193,27 (31-03-1992),Switzerland,Right-handed,Wikipedia,102 (550),93 (07-08-2017),Henri Laaksonen,Two-handed,"$1,219,810",,None 4%,2009,9,Yes,113 (1807),84 (17-06-2019),1851 (10-06-2019),21-10-2019,,,,,,,,,,,,,,,,,,,
194,24 (24-01-1996),Australia,Right-handed,Wikipedia,282 (144),279 (13-01-2020),Harry Bourchier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,33 (07-09-1986),Uzbekistan,Right-handed,Wikipedia,170 (295),33 (13-08-2012),Denis Istomin,Two-handed,"US$5,965,778",188 cm,Grass 16%,2004,15,Yes,139 (1769),31 (14-07-2014),1987 (07-07-2014),22-07-2019,2,400 (2),2015,,,,,,,,,,,,,,,,
