,Age,Country,Plays,Wikipedia,Current Rank,Best Rank,Name,Backhand,Prize Money,Height,Favorite Surface,Turned Pro,Seasons,Active,Current Elo Rank,Best Elo Rank,Peak Elo Rating,Last Appearance,Titles,GOAT Rank,Best Season,Retired,Masters,Birthplace,Residence,Weight,Coach,Facebook,Twitter,Nicknames,Grand Slams,Davis Cups,Web Site,Team Cups,Olympics,Weeks at No. 1,Tour Finals
196,24 (11-05-1995),Italy,Right-handed,Wikipedia,53 (990),46 (01-07-2019),Lorenzo Sonego,Two-handed,"$1,231,953",,Grass 47%,2013,4,Yes,96 (1831),67 (01-07-2019),1890 (01-07-2019),13-01-2020,1,489 (1),2019,,,,,,,,,,,,,,,,
197,24 (11-04-1995),Italy,Right-handed,Wikipedia,223 (214),152 (12-06-2017),Stefano Napolitano,Two-handed,"$420,434",,,2012,1,,,,,29-05-2017,,,,2017,,,,,,,,,,,,,,,
198,21 (13-08-1998),France,Right-handed,Wikipedia,498 (59),391 (05-08-2019),Evan Furness,Two-handed,"$27,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,20 (17-02-1999),Australia,Right-handed,Wikipedia,23 (1665),18 (28-10-2019),Alex De Minaur,Two-handed,"US$3,466,298",,Hard 64%,2015,4,Yes,19 (2055),19 (13-01-2020),2055 (10-01-2020),05-11-2019,3,293 (5),2019,,,,,,,,,,,,,,,,
200,24 (06-01-1996),Brazil,Left-handed,Wikipedia,472 (65),440 (21-05-2018),Rafael Matos,Two-handed,"$51,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,22 (17-05-1997),United States,Right-handed,Wikipedia,80 (696),79 (07-10-2019),Tommy Paul,Two-handed,"$684,920",,Hard 100%,2015,6,Yes,99 (1827),99 (19-01-2020),1827 (19-01-2020),12-01-2020,,,,,,,,,,,,,,,,,,,
202,25 (24-02-1994),Belarus,Right-handed,Wikipedia,149 (354),80 (04-02-2019),Ilya Ivashka,Two-handed,"US$822,426",,Hard 58%,2013,4,Yes,131 (1777),108 (18-02-2019),1814 (11-02-2019),16-09-2019,,,,,,,,,,,,,,,,,,,
203,21 (12-04-1998),Japan,Right-handed,Wikipedia,259 (176),171 (18-03-2019),Yosuke Watanuki,Two-handed,"$152,770",,,,2,Yes,,,,18-02-2019,,,,,,,,,,,,,,,,,,,
204,29 (25-04-1990),Germany,Right-handed,Wikipedia,37 (1270),33 (01-07-2019),Jan Lennard Struff,Two-handed,"US$5,278,695",,"Slow (H, Cl) 19%",2009,8,Yes,35 (1974),25 (24-06-2019),2036 (17-06-2019),12-01-2020,,,,,,,,,,,,,,,janlennardstruff.com,,,,
205,21 (27-08-1998),Germany,Right-handed,Wikipedia,427 (76),320 (26-11-2018),Louis Wessels,Two-handed,"$57,210",,,,1,,,,,11-07-2016,,,,2016,,,,,,,,,,,,,,,
206,28 (09-04-1991),Egypt,Right-handed,Wikipedia,352 (110),225 (02-10-2017),Karim Mohamed Maamoun,Two-handed,"$98,772",,Clay 100%,,5,Yes,,191 (20-09-2019),1597 (20-09-2019),,,,,,,,,,,,,,,,,,,,
207,28 (16-05-1991),Bulgaria,Right-handed,Wikipedia,20 (1772),3 (20-11-2017),Grigor Dimitrov,One-handed,"$18,020,217  27th all-time leader in earnings",188 cm,All-Rounder 8%,2008,13,Yes,22 (2043),6 (29-01-2018),2203 (19-02-2018),28-10-2019,8,83 (39),2017,,1,"Haskovo, Bulgaria","Monte-Carlo, Monaco",80 kg,Daniel Vallverdu,grigordimitrovtennis,@grigordimitrov,,,,,,,,1
208,34 (04-06-1985),Italy,Right-handed,Wikipedia,319 (122),100 (11-05-2015),Luca Vanni,Two-handed,"US$397,622",,Clay 48%,2006,5,,,112 (24-05-2015),1797 (17-05-2015),14-01-2019,,,,2019,,,,,,,,,,,,,,,
209,28 (20-11-1991),Sweden,Right-handed,Wikipedia,345 (112),177 (20-07-2015),Christian Lindell,Two-handed,"$257,395",,Clay 100%,2008,7,,,178 (01-05-2017),1702 (18-04-2017),11-07-2016,,,,2016,,,,,,,,,,,,,,,
210,27 (31-12-1992),Brazil,Right-handed,Wikipedia,328 (119),153 (03-08-2015),Guilherme Clezar,Two-handed,"$595,305",,Clay 100%,2009,7,,,197 (18-02-2019),1624 (05-03-2018),26-02-2018,,,,2018,,,,,,,,,,,,,,,
211,34 (17-04-1985),France,Right-handed,Wikipedia,33 (1340),5 (27-02-2012),Jo Wilfried Tsonga,Two-handed,"US$ 22,072,615  15th all-time leader in earnings",188 cm,"Fast (H, G) 11%",2004,16,Yes,20 (2050),6 (02-03-2009),2244 (09-01-2012),06-01-2020,18,49 (71),2011,,2,"Le Mans, France","Gingins, Switzerland",91 kg,Thierry Ascione,tsonga,@tsonga7,Muhammad Ali,,1,sportifdigital.com/tsonga/,,,,
212,29 (04-07-1990),China,Right-handed,Wikipedia,342 (114),148 (27-05-2013),Ze Zhang,,"US$975,638",,Clay 54%,2005,11,Yes,173 (1705),123 (22-07-2016),1780 (22-07-2016),07-10-2019,,,,,,,,,,,,,,,,,,,
213,22 (01-12-1997),Slovakia,Left-handed,Wikipedia,280 (145),280 (20-01-2020),Alex Molcan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,19 (05-07-2000),United States,Right-handed,Wikipedia,246 (189),242 (06-01-2020),Sebastian Korda,Two-handed,"US$27,409",,,,1,,,,,12-02-2018,,,,2018,,,,,,,,,,,,,,,
215,33 (12-05-1986),Russian Federation,Right-handed,Wikipedia,318 (123),235 (23-07-2018),Ivan Nedelko,Two-handed,"$185,080",,,,2,,,,,17-09-2012,,,,2012,,,,,,,,,,,,,,,
216,37 (01-05-1982),Spain,Right-handed,Wikipedia,200 (244),5 (28-08-2006),Tommy Robredo,One-handed,"US$13,376,235",180 cm,Clay 37%,1998,21,Yes,,10 (22-05-2006),2106 (08-06-2009),22-07-2019,12,99 (32),2006,,1,"Hostalric, Spain","San Cugat del Valles, Spain",75 kg,Oscar Serrano,,@TRobredo,,,3,www.tommy-robredo.com,,,,
217,32 (05-03-1987),Slovenia,Right-handed,Wikipedia,309 (129),68 (06-08-2012),Blaz Kavcic,Two-handed,"$1,800,041",188 cm,"Slow (H, Cl) 40%",2005,11,,,71 (12-01-2015),1867 (12-01-2015),25-06-2018,,,,2018,,,,,,,,,,,en.blazkavcic.com,,,,
218,24 (11-10-1995),Chile,Right-handed,Wikipedia,81 (681),38 (22-07-2019),Nicolas Jarry,Two-handed,"US$2,055,087",,Clay 47%,2014,7,Yes,91 (1841),45 (22-07-2019),1939 (22-07-2019),14-10-2019,1,489 (1),2019,,,,,,,,,,,,,,,,
219,25 (18-10-1994),France,Right-handed,Wikipedia,348 (111),207 (06-04-2015),Laurent Lokoli,Two-handed,"$215,105",,,,3,,,,,29-05-2017,,,,2017,,,,,,,,,,,,,,,
220,25 (18-09-1994),Spain,Right-handed,Wikipedia,482 (63),353 (05-11-2018),Eduard Esteve Lobato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,20 (27-01-1999),Turkey,Right-handed,Wikipedia,492 (61),488 (12-08-2019),Ergi Kirkin,Two-handed,"$14,811",,,,1,Yes,,,,24-06-2019,,,,,,,,,,,,,,,,,,,
222,23 (04-07-1996),United States,Right-handed,Wikipedia,224 (213),67 (17-07-2017),Ernesto Escobedo,Two-handed,"$760,071",,All-Rounder 10%,2014,4,Yes,,101 (17-04-2017),1816 (17-04-2017),26-08-2019,,,,,,,,,,,,,,,,,,,
223,32 (30-12-1987),Brazil,Left-handed,Wikipedia,315 (125),21 (26-07-2010),Thomaz Bellucci,Two-handed,"$5,334,788",188 cm,Clay 37%,2005,12,,,33 (23-07-2012),1996 (26-07-2010),28-05-2018,4,293 (5),2009,2018,,,,,,,,,,,thomazbellucci.com.br,,,,
224,23 (19-02-1996),Austria,Right-handed,Wikipedia,483 (63),390 (16-10-2017),David Pichler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,34 (23-02-1985),Russian Federation,Right-handed,Wikipedia,327 (119),78 (07-11-2016),Konstantin Kravchuk,Two-handed,"US$1,031,708",190 cm,None 6%,2004,9,,,169 (24-07-2017),1725 (24-07-2017),16-10-2017,,,,2017,,,,,,,,,,,,,,,
226,22 (24-04-1997),Netherlands,Right-handed,Wikipedia,291 (139),285 (13-01-2020),Tim Van Rijthoven,One-handed,"$32,418",,,,2,,,,,22-08-2016,,,,2016,,,,,,,,,,,,,,,
227,31 (18-05-1988),Japan,Right-handed,Wikipedia,146 (362),60 (22-10-2012),Tatsuma Ito,Two-handed,"$1,240,151.",180 cm,Grass 18%,,12,Yes,182 (1669),113 (24-06-2012),1794 (24-06-2012),23-09-2019,,,,,,,,,,,,,,,,,,,
228,25 (23-08-1994),Japan,Right-handed,Wikipedia,285 (143),237 (01-07-2019),Kaichi Uchida,Two-handed,"$129,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,27 (23-02-1992),Georgia,Right-handed,Wikipedia,29 (1485),16 (27-05-2019),Nikoloz Basilashvili,Two-handed,"US$4,271,703",185 cm,"Slow (H, Cl) 25%",2008,7,Yes,43 (1955),30 (07-01-2019),1990 (07-01-2019),28-10-2019,3,264 (6),2018,,,,,,,,,,,,,,,,
230,29 (13-03-1990),Dominican Republic,Right-handed,Wikipedia,283 (144),179 (03-08-2015),Jose Hernandez,Two-handed,"$151,729",,None 13%,2008,12,Yes,,167 (17-03-2015),1714 (11-02-2014),21-05-2018,,,,,,,,,,,,,,,,,,,
231,20 (05-06-1999),Spain,Right-handed,Wikipedia,88 (627),82 (28-10-2019),Alejandro Davidovich Fokina,Two-handed,"$297,419",,Clay 100%,,2,Yes,159 (1742),147 (29-07-2019),1752 (29-07-2019),13-01-2020,,,,,,,,,,,,,,,,,,,
232,27 (15-12-1992),Italy,Right-handed,Wikipedia,95 (586),93 (06-01-2020),Salvatore Caruso,Two-handed,"$404,813",,Clay 36%,2011,5,Yes,122 (1791),115 (23-09-2019),1798 (23-09-2019),12-01-2020,,,,,,,,,,,,,,,,,,,
233,29 (27-02-1990),Argentina,Left-handed,Wikipedia,135 (405),55 (14-11-2016),Facundo Bagnis,Two-handed,"US$1,411,032",,Clay 47%,2007,8,Yes,176 (1696),144 (18-07-2016),1752 (18-07-2016),15-07-2019,,,,,,,,,,,,,,,,,,,
234,30 (04-12-1989),Australia,Left-handed,Wikipedia,308 (130),108 (28-09-2015),John Patrick Smith,Two-handed,"$1,229,509",,Grass 63%,,6,,,168 (22-02-2016),1708 (22-02-2016),02-07-2018,,,,2018,,,,,,,,,,,,,,,
235,26 (19-11-1993),United Kingdom,Right-handed,Wikipedia,403 (85),282 (25-07-2016),Lloyd Glasspool,Two-handed,"$129,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,22 (26-04-1997),Spain,Right-handed,Wikipedia,168 (300),126 (10-06-2019),Pedro Martinez Portero,Two-handed,"$376,711",,,2016,2,Yes,,,,27-05-2019,,,,,,,,,,,,,,,,,,,
237,23 (10-06-1996),Germany,Right-handed,Wikipedia,276 (153),234 (16-04-2018),Jan Choinski,Two-handed,"$113,558",,,,1,,,,,06-06-2016,,,,2016,,,,,,,,,,,,,,,
238,21 (22-03-1998),Slovakia,,Wikipedia,301 (133),298 (06-01-2020),Lukas Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,25 (29-08-1994),Argentina,Right-handed,Wikipedia,373 (99),285 (12-08-2019),Matias Franco Descotte,Two-handed,"$75,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,28 (14-09-1991),China,Right-handed,Wikipedia,287 (141),140 (25-04-2016),Di Wu,,,,None 3%,,11,Yes,,115 (29-09-2015),1794 (29-09-2015),23-09-2019,,,,,,,,,,,,,,,,,,,
241,18 (16-08-2001),Italy,Right-handed,Wikipedia,82 (671),78 (18-11-2019),Jannik Sinner,Two-handed,"US$786,470",,None 3%,2018,2,Yes,127 (1784),120 (10-01-2020),1792 (28-10-2019),13-01-2020,,,,,,,,,,,,,,,,,,,
242,29 (11-01-1991),Italy,Right-handed,Wikipedia,404 (85),259 (25-07-2016),Alessandro Bega,Two-handed,"$142,585",,,,1,,,,,31-07-2017,,,,2017,,,,,,,,,,,,,,,
243,28 (18-03-1991),France,Right-handed,Wikipedia,64 (865),36 (11-02-2019),Pierre Hugues Herbert,Two-handed,"US$7,269,284",188 cm,"Soft (Cl, G) 14%",2010,8,Yes,57 (1915),32 (24-06-2019),1989 (24-06-2019),06-01-2020,,,,,,,,,,,,,,1,,,,,
244,23 (24-10-1996),Kazakhstan,Right-handed,Wikipedia,184 (273),178 (23-10-2017),Dmitry Popko,Two-handed,"$231,152",,,,2,,,,,,,,,,,,,,,,,,,,,,,,
245,29 (23-07-1990),Australia,,Wikipedia,359 (108),252 (23-10-2017),Dayne Kelly,,"$162,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,27 (04-11-1992),Slovakia,Right-handed,Wikipedia,139 (379),80 (22-10-2018),Jozef Kovalik,Two-handed,"$1,017,001",,Hard 21%,2010,4,Yes,171 (1705),119 (30-07-2018),1805 (30-07-2018),14-10-2019,,,,,,,,,,,,,,,,,,,
247,24 (22-07-1995),Peru,Right-handed,Wikipedia,491 (62),485 (13-01-2020),Jorge Brian Panta Herreros,Two-handed,"$22,560",,,,4,,,,,,,,,,,,,,,,,,,,,,,,
248,23 (13-12-1996),Croatia,Right-handed,Wikipedia,294 (138),192 (06-08-2018),Nino Serdarusic,Two-handed,"$176,650",,,2014,3,Yes,,,,15-07-2019,,,,,,,,,,,,,,,,,,,
249,29 (19-09-1990),Italy,Right-handed,Wikipedia,249 (187),173 (14-05-2018),Viktor Galovic,Two-handed,"$248,114",,,2011,4,Yes,,,,15-07-2019,,,,,,,,,,,,,,,,,,,
250,33 (20-09-1986),China,Right-handed,Wikipedia,206 (234),193 (11-11-2019),Zhe Li,Two-handed,"$ 544,642",,Hard 100%,2004,8,Yes,190 (1600),179 (24-02-2017),1693 (24-02-2017),07-10-2019,,,,,,,,,,,,,,,,,,,
251,23 (26-10-1996),France,Right-handed,Wikipedia,215 (222),102 (05-02-2018),Quentin Halys,Two-handed,"$900,060",,Hard 38%,2012,5,Yes,,148 (20-06-2016),1742 (06-06-2016),27-05-2019,,,,,,,,,,,,,,,,,,,
252,27 (22-01-1993),Spain,Right-handed,Wikipedia,474 (65),254 (21-05-2018),Carlos Boluda Purkiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,21 (12-08-1998),Greece,Right-handed,Wikipedia,6 (5375),5 (05-08-2019),Stefanos Tsitsipas,One-handed,"$10,425,605",,Clay 24%,2016,4,Yes,8 (2160),8 (20-05-2019),2175 (18-11-2019),11-11-2019,4,139 (21),2019,,,,,,,,,,,,stsitsipas.com,,,,1
254,30 (23-07-1989),United States,Left-handed,Wikipedia,257 (177),38 (27-02-2012),Donald Young,Two-handed,"$4,628,160",183 cm,"Fast (H, G) 37%",2004,15,Yes,,34 (31-03-2017),1975 (31-03-2017),29-07-2019,,,,,,,,,,,,,,,,,,,
255,19 (24-02-2000),Russian Federation,Right-handed,Wikipedia,452 (69),380 (29-04-2019),Alen Avidzba,Two-handed,"$35,396",,,,1,Yes,,,,14-10-2019,,,,,,,,,,,,,,,,,,,
256,30 (31-12-1989),Australia,Right-handed,Wikipedia,392 (91),169 (28-09-2015),Brydan Klein,Two-handed,"$674,687",183 cm,Hard 22%,2005,5,,,,,31-07-2017,,,,2017,,,,,,,,,,,,,,,
257,24 (28-01-1995),France,Right-handed,Wikipedia,413 (82),116 (30-04-2018),Calvin Hemery,Two-handed,"$403,823",,Clay 100%,,4,,,187 (13-05-2019),1663 (11-06-2018),28-05-2018,,,,2018,,,,,,,,,,,,,,,
258,24 (04-11-1995),France,Right-handed,Wikipedia,118 (470),98 (19-08-2019),Antonie Hoang,,,,Hard 100%,,1,Yes,101 (1826),97 (23-09-2019),1830 (09-09-2019),16-09-2019,,,,,,,,,,,,,,,,,,,
259,23 (06-04-1996),Australia,Right-handed,Wikipedia,272 (155),253 (14-10-2019),Aleksandar Vukic,Two-handed,"$27,395",,,,1,,,,,08-01-2018,,,,2018,,,,,,,,,,,,,,,
260,28 (10-09-1991),Italy,Right-handed,Wikipedia,150 (347),127 (12-08-2019),Lorenzo Giustino,Two-handed,"$420,509",,,,3,,,,,24-07-2017,,,,2017,,,,,,,,,,,,,,,
261,24 (28-06-1995),United States,Right-handed,Wikipedia,262 (172),223 (24-12-2018),Jc Aragone,Two-handed,"$188,206",,,2017,3,Yes,,,,24-06-2019,,,,,,,,,,,,,,,,,,,
262,30 (30-03-1989),Portugal,Right-handed,Wikipedia,59 (891),28 (16-05-2016),Joao Sousa,Two-handed,"$6,119,457",185 cm,Clay 17%,2008,13,Yes,73 (1869),34 (01-02-2016),1972 (01-02-2016),13-01-2020,3,357 (3),2013,,,,,,,,,,,,joaosousaofficial.com,,,,
263,31 (30-08-1988),Latvia,Right-handed,Wikipedia,256 (179),10 (09-06-2014),Ernests Gulbis,Two-handed,"US$7,256,753",190 cm,Carpet 49%,2004,15,Yes,119 (1795),10 (09-06-2014),2167 (09-06-2014),29-07-2019,6,202 (10),2014,,,,,,,,,,,,,,,,
264,24 (03-07-1995),Spain,Right-handed,Wikipedia,196 (254),178 (14-10-2019),Mario Vilella Martinez,Two-handed,"$104,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,24 (08-06-1995),France,Right-handed,Wikipedia,349 (111),211 (27-07-2015),Maxime Hamou,Two-handed,"$117,881",,,,2,,,,,29-05-2017,,,,2017,,,,,,,,,,,,,,,
266,33 (18-05-1986),South Africa,Right-handed,Wikipedia,122 (445),5 (16-07-2018),Kevin Anderson,Two-handed,"US$16,293,854 30th all-time leader in earnings",203 cm,"Fast (H, G) 15%",2007,14,Yes,9 (2145),6 (15-04-2019),2181 (07-01-2019),01-07-2019,6,114 (26),2018,,,,,,,,,,,,,,,,
267,29 (13-08-1990),Slovakia,Right-handed,Wikipedia,113 (498),80 (02-10-2017),Norbert Gombos,Two-handed,"$774,886",,None 10%,,5,Yes,160 (1738),157 (20-09-2019),1739 (20-09-2019),29-07-2019,,,,,,,,,,,,,,,,,,,
268,27 (23-05-1992),France,Right-handed,Wikipedia,225 (213),142 (14-01-2019),Constant Lestienne,Two-handed,"$318,809",,,2012,3,Yes,,,,15-07-2019,,,,,,,,,,,,,,,,,,,
269,32 (25-06-1987),Belgium,Right-handed,Wikipedia,418 (81),179 (17-08-2015),Yannick Mertens,Two-handed,"US$500,430",,,2006,2,,,,,15-10-2012,,,,2012,,,,,,,,,,,,,,,
270,26 (04-09-1993),Russian Federation,Right-handed,Wikipedia,251 (182),153 (11-05-2015),Aslan Karatsev,Two-handed,"$258,071",,,,4,,,,,17-10-2016,,,,2016,,,,,,,,,,,,,,,
271,21 (21-03-1998),Italy,,Wikipedia,415 (82),404 (12-08-2019),Enrico Dalla Valle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,27 (05-08-1992),Japan,Right-handed,Wikipedia,93 (594),78 (04-11-2019),Yasutaka Uchiyama,Two-handed,"$723,271",,Hard 100%,,5,Yes,149 (1758),145 (07-10-2019),1763 (07-10-2019),30-09-2019,,,,,,,,,,,,,,,,,,,
273,32 (22-05-1987),Serbia,Right-handed,Wikipedia,2 (9720),1 (04-07-2011),Novak Djokovic,Two-handed,"US$ 139,144,944 All-time leader in earnings",188 cm,"Fast (H, G) 14%",2003,17,Yes,2 (2390),1 (21-03-2011),2629 (01-02-2016),11-11-2019,77,2 (819),2015,,34,"Belgrade, Serbia","Monte Carlo, Monaco",77 kg,Marian Vajda,djokovic.official,@DjokerNole,"Nole, Djoker",16,1,novakdjokovic.com,1,,275,5
274,29 (03-04-1990),United States,Right-handed,Wikipedia,450 (69),157 (04-04-2016),Alexander Sarkissian,Two-handed,"$250,932",,,2014,2,,,,,07-03-2016,,,,2016,,,,,,,,,,,,,,,
275,27 (29-02-1992),France,,Wikipedia,371 (101),346 (19-02-2018),Antoine Escoffier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,29 (24-07-1990),Czech Republic,Right-handed,Wikipedia,412 (83),136 (03-10-2016),Jan Satral,Two-handed,"$352,620",,,,2,,,,,29-08-2016,,,,2016,,,,,,,,,,,,,,,
277,27 (09-03-1992),Argentina,Right-handed,Wikipedia,119 (465),115 (04-11-2019),Federico Coria,Two-handed,"$246,355",,,2010,1,,,,,21-05-2018,,,,2018,,,,,,,,,,,,,,,
278,21 (08-08-1998),France,Right-handed,Wikipedia,317 (123),266 (02-04-2018),Geoffrey Blancaneaux,Two-handed,"$151,636",,,,1,,,,,28-08-2017,,,,2017,,,,,,,,,,,,,,,
279,23 (04-11-1996),Russian Federation,Left-handed,Wikipedia,433 (74),275 (09-10-2017),Ivan Gakhov,Two-handed,"$119,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,25 (03-06-1994),Australia,,Wikipedia,115 (481),115 (20-01-2020),Christopher Oconnell,,,,,,1,,,,,16-01-2017,,,,2017,,,,,,,,,,,,,,,
281,24 (26-04-1995),Switzerland,Right-handed,Wikipedia,449 (69),437 (18-11-2019),Adam Moundir,Two-handed,"$24,480",,,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,
282,21 (17-11-1998),Spain,,Wikipedia,300 (135),273 (19-08-2019),Javier Barranco Cosano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,31 (27-09-1988),Hungary,Right-handed,Wikipedia,112 (498),112 (20-01-2020),Attila Balazs,Two-handed,"$450,046",180 cm,Clay 29%,,8,Yes,116 (1803),105 (30-04-2012),1808 (22-07-2019),15-07-2019,,,,,,,,,,,,,,,,,,,
284,34 (28-10-1985),Spain,Right-handed,Wikipedia,220 (216),111 (08-06-2015),Adrian Menendez Maceiras,Two-handed,"$ 1,198,979",,Hard 28%,2005,6,Yes,178 (1688),168 (19-02-2018),1724 (19-02-2018),08-04-2019,,,,,,,,,,,,,,,,,,,
285,24 (04-02-1995),Germany,Right-handed,Wikipedia,322 (121),293 (12-08-2019),Benjamin Hassan,,"$30,659",,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,
286,24 (12-04-1995),Argentina,Right-handed,Wikipedia,366 (104),166 (14-09-2015),Pedro Cachin,Two-handed,"$204,409",,,,3,Yes,,,,04-02-2019,,,,,,,,,,,,,,,,,,,
287,20 (26-12-1999),Czech Republic,Right-handed,Wikipedia,426 (76),417 (18-11-2019),Michael Vrbensky,Two-handed,"$27,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,29 (09-10-1990),Germany,Left-handed,Wikipedia,154 (340),71 (13-02-2012),Cedrik Marcel Stebe,Two-handed,"$1,174,974",183 cm,Clay 45%,2010,7,Yes,124 (1790),85 (07-01-2013),1829 (17-06-2013),14-10-2019,,,,,,,,,,,,,,,,,,,
289,34 (23-01-1986),Spain,Right-handed,Wikipedia,63 (867),32 (13-07-2015),Pablo Andujar,Two-handed,"$5,355,556",180 cm,Clay 61%,2004,13,Yes,86 (1843),48 (27-07-2015),1929 (13-07-2015),13-01-2020,4,264 (6),2018,,,,,,,,,,,,,,,,
290,30 (15-06-1989),"Taiwan, Province of China",Right-handed,Wikipedia,126 (429),114 (30-07-2018),Jason Jung,Two-handed,"$575,457",,None 7%,,3,Yes,175 (1705),142 (18-02-2019),1763 (18-02-2019),23-09-2019,,,,,,,,,,,,,,,,,,,
291,23 (17-12-1996),Brazil,Right-handed,Wikipedia,187 (268),186 (06-01-2020),Joao Lucas Magalhaes Hueb De Menezes,,,,,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,
292,25 (11-06-1994),Germany,Right-handed,Wikipedia,254 (181),203 (19-06-2017),Daniel Masur,Two-handed,"$255,637",,,2013,2,,,,,23-07-2018,,,,2018,,,,,,,,,,,,,,,
293,21 (08-02-1998),Brazil,Right-handed,Wikipedia,302 (133),292 (04-11-2019),Orlando Luz,Two-handed,"$110,189",,,,1,,,,,27-02-2017,,,,2017,,,,,,,,,,,,,,,
294,21 (06-04-1998),United States,,Wikipedia,,456 (29-07-2019),Brandon Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,21 (04-08-1998),Argentina,,Wikipedia,410 (84),406 (06-01-2020),Genaro Alberto Olivieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
